Бренд,Код товара,Наименование товара,Категория1,Категория2,Категория3,Категория4,Сегмент,Цена закупки товара,letu.ru,iledebeaute.ru,rivegauche.ru,Ozon,Wildberries,MagnitMarket,Megamarket,lamoda.ru,tsum.ru,visagehall.ru,Наценка,Уровень_правила,Цена_до_скидки,Мин_цена_конкурента,Кто_минимум,Цена_мин_маржа10,Цель_цена_минимум_рынка,Можно_быть_минимумом_с_маржой10,Рекоменд_цена,Рекоменд_скидка
Clarins,19000412437,CLARINS Тушь д/ресниц Wonder volume xxl 8мл,Макияж,Глаза,Тушь для ресниц,,Люкс,983,,1029.0,,,,,,1117.0,,,1.03,brand,1995.4900000000002,1029.0,iledebeaute.ru,1092.2222222222222,1028.0,False,1092.2222222222222,0.45265462506841825
Clarins,14037100013,Clarins Флюид тональный устойчивый с омолаживающим действием 30мл 108.5W,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,1957,,2107.0,,,,,,,,,1.03,brand,3972.7100000000005,2107.0,iledebeaute.ru,2174.4444444444443,2106.0,False,2174.4444444444443,0.45265462506841825
Clarins,19000033387,CLARINS Масло-блеск для губ Lip Comfort Oil т.10 7 мл,Макияж,Губы,Масло для губ_макияж,,Люкс,850,,1065.0,919.0,964.0,,,,924.0,1574.0,964.0,1.03,brand,1725.5000000000002,919.0,rivegauche.ru,944.4444444444445,918.0,False,944.4444444444445,0.45265462506841825
Clarins,14037100015,Clarins Флюид тональный устойчивый с омолаживающим действием SPF15 Everlasting Youth Fluid 110 30мл,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,2145,,2355.0,3536.0,,,,,,,,1.03,brand,4354.35,2355.0,iledebeaute.ru,2383.3333333333335,2354.0,False,2383.3333333333335,0.45265462506841814
Clarins,19000168458,Clarins Масло-блеск д/губ Lip Comfort 17 7мл,Макияж,Губы,Масло для губ_макияж,,Люкс,835,,924.0,1039.0,1045.0,,,,1065.0,1742.0,,1.03,brand,1695.0500000000002,924.0,iledebeaute.ru,927.7777777777777,923.0,False,927.7777777777777,0.45265462506841825
Clarins,19000430971,CLARINS Масло-блеск д/губ 54 7мл,Макияж,Губы,Масло для губ_макияж,,Люкс,898,,,999.0,1065.0,,,,,,1085.0,1.03,brand,1822.9400000000003,999.0,rivegauche.ru,997.7777777777777,998.0,True,998.0,0.45253272186687443
Clarins,19000283309,Clarins Тушь д/ресниц Wonder Volume XXL 01 8мл,Макияж,Глаза,Тушь для ресниц,Тушь,Люкс,983,,1094.0,1146.0,1208.0,,,,1117.0,2052.0,1185.0,1.03,brand,1995.4900000000002,1094.0,iledebeaute.ru,1092.2222222222222,1093.0,True,1093.0,0.45226485725310583
Clarins,19000347411,CLARINS Консилер д/лица Instant 02.5 15мл,Макияж,Лицо,Корректор/консилер,,Люкс,1340,,,1495.0,1687.0,,,,,,,1.1,brand_cat3,2814.0,1495.0,rivegauche.ru,1488.888888888889,1494.0,True,1494.0,0.4690831556503199
Clarins,14037100011,Clarins Флюид тональный устойчивый с омолаживающим действием SPF15 Everlasting Youth Fluid 108 30мл,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,3458,,3904.0,6104.0,,,,,,,,1.03,brand,7019.740000000001,3904.0,iledebeaute.ru,3842.222222222222,3903.0,True,3903.0,0.44399650129491985
Clarins,19000033383,CLARINS Масло-блеск для губ Lip Comfort Oil т.04 7 мл,Макияж,Губы,Масло для губ_макияж,,Люкс,961,,1185.0,1159.0,1085.0,,,,1145.0,1943.0,1145.0,1.03,brand,1950.8300000000002,1085.0,Ozon,1067.7777777777778,1084.0,True,1084.0,0.4443390761880841
