Конкурент,Кол-во_SKU_в_сравнении,Индекс_mean,Индекс_median,Доля_SKU_где_мы_дешевле
tsum.ru,226,1.006314520739089,1.0046488568111163,0.4469026548672566
letu.ru,193,1.1857582887819462,1.100938566552901,0.18134715025906736
Megamarket,89,1.1933477096503142,1.1676923076923076,0.24719101123595505
MagnitMarket,120,1.2155580196935767,1.1250433729939124,0.20833333333333334
lamoda.ru,364,1.2212888497404175,1.183132132840635,0.10714285714285714
visagehall.ru,388,1.2258096664659188,1.1845191587813724,0.01288659793814433
rivegauche.ru,610,1.2261212734602478,1.1759713193181545,0.04918032786885246
iledebeaute.ru,495,1.276762667399966,1.1643893528183717,0.06464646464646465
Wildberries,176,1.2956313102211043,1.285739291405005,0.14204545454545456
Ozon,471,1.3182501378481517,1.227816091954023,0.055201698513800426
