Бренд AX 1,ΔВыручка,ΔМаржа_руб,ΔМаржинальность_п.п.,effect_total,effect_margin,effect_mix,effect_total_п.п.,effect_margin_п.п.,effect_mix_п.п.
Ahava,28742583.559999965,473083.76058261376,-4.240197905536281,7.801394224239358e-05,-0.00030019370766058934,0.0003782076499029829,0.008,-0.03,0.038
Anne Semonin,-13429615.430000003,-2725794.278561675,-0.05789199232848208,-0.0003077298206992744,-1.7960339986819328e-06,-0.00030593378670059246,-0.031,-0.0,-0.031
BABOR,-18440357.549999893,-2653831.5521165133,0.024134262985472943,-0.00015478911689090102,8.685253542624152e-06,-0.00016347437043352518,-0.015,0.001,-0.016
Bellefontaine,-17834942.22,-1919656.2221210739,,-0.000226797427245507,-0.0001133987136227535,-0.0001133987136227535,-0.023,-0.011,-0.011
Biothal,17949429.009999998,2542770.5097860694,,0.00030979521502883607,0.00015489760751441804,0.00015489760751441804,0.031,0.015,0.015
Biotherm,-6476448.949999869,-844509.031406492,-0.04122614695071802,-6.727736124396466e-06,-1.0898866490813638e-05,4.171130366417172e-06,-0.001,-0.001,0.0
Botany,-2782553.5700000003,-587196.2175694145,0.27670808299335714,-4.362812644595967e-05,1.0013555942276881e-05,-5.364168238823655e-05,-0.004,0.001,-0.005
CHANEL,-19383960.119999856,-3979465.25261721,-1.0482720702429658,-0.00040819253879313466,-0.00028535060322082927,-0.0001228419355723054,-0.041,-0.029,-0.012
CHOLLEY,16931694.37,1933309.453800638,,0.00023554230145914347,0.00011777115072957174,0.00011777115072957174,0.024,0.012,0.012
COOLA,8217342.200000003,1630777.0368684605,-0.22844695667221804,0.00021579653200417293,-7.28742330366949e-06,0.0002230839553078424,0.022,-0.001,0.022
Caudalie,44411184.50999999,3388018.5007171407,-2.30412554176197,0.000536266926875232,-0.0005481756436939828,0.0010844425705692148,0.054,-0.055,0.108
Cellcosmet,-6783197.430000022,-1978050.5234410577,-1.614707740518663,-0.00020536798613910503,-0.0001399465950195147,-6.542139111959034e-05,-0.021,-0.014,-0.007
Christian Dior,-19404292.29000005,941352.1301774904,2.068507809710998,0.00016343552364998014,0.0003439488593369224,-0.00018051333568694223,0.016,0.034,-0.018
Clarins,-355222424.1699995,20727762.123902455,5.455608535238449,0.002973493206385496,0.007525402063441774,-0.004551908857056278,0.297,0.753,-0.455
Cle De Peau,-31641378.889999986,-2623499.4885288924,0.03268411770629004,-0.0002704957342002861,5.572336740110228e-06,-0.0002760680709403963,-0.027,0.001,-0.028
Clinique,12804388.53000027,-12577013.93976584,-2.960747129791974,-0.0012283636938591994,-0.0017475043067550745,0.0005191406128958751,-0.123,-0.175,0.052
Darphin,-12161339.300000004,-2110823.401727747,-0.9289288466096474,-0.0002306163752896828,-4.8481270497363026e-05,-0.00018213510479231978,-0.023,-0.005,-0.018
Dr Barbara Sturm,-14334985.410000004,-3984442.649066913,-2.8589613310517765,-0.0004510648445152606,-0.00011817204502999993,-0.00033289279948526065,-0.045,-0.012,-0.033
Dr Brandt,-20053959.99,-2734412.432862995,,-0.0003230566481930956,-0.0001615283240965478,-0.0001615283240965478,-0.032,-0.016,-0.016
ELEMIS,15252246.98999998,3306528.984979499,-0.09949718208054903,0.00050900881405695,-1.6121023989193455e-05,0.0005251298380461435,0.051,-0.002,0.053
