Бренд AX 1,Выручка_W14,Выручка_W15,Маржа_руб_W14,Маржа_руб_W15,Маржинальность_W14,Маржинальность_W15,ΔВыручка,ΔМаржа_руб,ΔМаржинальность_п.п._view,comment
Ahava,44410651.580000006,73153235.13999997,5523678.119253526,5996761.87983614,0.1243773266713581,0.0819753476159953,28742583.559999965,473083.76058261376,-4.24,
Anne Semonin,32673568.400000002,19243952.97,6604613.482020937,3878819.203459262,0.20213933786371913,0.2015604179404343,-13429615.430000003,-2725794.278561675,-0.058,
BABOR,309282334.7299999,290841977.18,45687429.72234865,43033598.17023214,0.14772078645304226,0.147962129082897,-18440357.549999893,-2653831.5521165133,0.024,
Bellefontaine,17834942.22,0.0,1919656.2221210739,0.0,0.10763456356860987,,-17834942.22,-1919656.2221210739,,Продажи пропали в W-1 (в W-2 были)
Biothal,0.0,17949429.009999998,0.0,2542770.5097860694,,0.14166303052701226,17949429.009999998,2542770.5097860694,,Новый бренд в W-1 (в W-2 продаж не было)
Biotherm,223614213.98000002,217137765.03000015,26067808.38324994,25223299.351843446,0.11657491676974271,0.11616265530023553,-6476448.949999869,-844509.031406492,-0.041,
Botany,31572158.27,28789604.7,7566499.399180702,6979303.181611287,0.2396573377870851,0.24242441861701866,-2782553.5700000003,-587196.2175694145,0.277,
CHANEL,236703280.29,217319320.17000014,20775902.835685,16796437.58306779,0.08777192614412078,0.07728920544169113,-19383960.119999856,-3979465.25261721,-1.048,
CHOLLEY,0.0,16931694.37,0.0,1933309.453800638,,0.11418286980339805,16931694.37,1933309.453800638,,Новый бренд в W-1 (в W-2 продаж не было)
COOLA,22413754.849999998,30631097.05,4639000.837505689,6269777.874374149,0.2069711598324941,0.2046866902657719,8217342.200000003,1630777.0368684605,-0.228,
Caudalie,175729536.95000002,220140721.46,33476502.28130927,36864520.78202641,0.190500145065734,0.1674588896481143,44411184.50999999,3388018.5007171407,-2.304,
Cellcosmet,75675127.03,68891929.59999998,9657386.9139736,7679336.390532542,0.12761639514850245,0.11146931774331582,-6783197.430000022,-1978050.5234410577,-1.615,
Christian Dior,148429286.65,129024994.35999995,13214474.369594902,14155826.499772392,0.0890287534747436,0.10971383157185358,-19404292.29000005,941352.1301774904,2.069,
