Бренд AX 1,rev_last,Маржинальность_W15,margin_gap_vs_avg_last_п.п.
CHANEL,217319320.17000014,0.07728920544169113,-7.722
Cle De Peau,126510755.28999999,0.08454720407474929,-6.996
Estee Lauder,325930625.42000014,0.10468286750024905,-4.983
Christian Dior,129024994.35999995,0.10971383157185358,-4.479
Biotherm,217137765.03000015,0.11616265530023553,-3.835
Lancome,204288646.00000012,0.1274427533511798,-2.707
Clinique,498201172.67000014,0.14013612680977536,-1.437
SENSAI,125798038.82000001,0.1449520414695686,-0.956
Clarins,974711947.7500001,0.1459036577004816,-0.86
BABOR,290841977.18,0.147962129082897,-0.655
